実施回,問題とタイトル,質問内容,成否（各アンサー）,選択肢,解説,画像URL
第34回：令和３年度（2022年）,問題1 人間の尊厳と自立,著書『ケアの本質?生きることの意味』の中で、「一人の人格をケアするとは、最も深い意味で、その人が成長すること、自己実現することをたすけることである」と述べた人物として、正しいものを１つ選びなさい。,1 不正解,神谷美恵子,神谷美恵子は、ハンセン病療養所である長島愛生園に勤務した精神科医である。1966年に著書『生きがいについて』を発表した。,
第34回：令和３年度（2022年）,問題1 人間の尊厳と自立,著書『ケアの本質?生きることの意味』の中で、「一人の人格をケアするとは、最も深い意味で、その人が成長すること、自己実現することをたすけることである」と述べた人物として、正しいものを１つ選びなさい。,2 不正解,糸賀一雄,糸賀一雄は、知的障害児施設である近江学園、重症心身障害児施設であるびわこ学園を設立した人物である。「この子らを世の光に」という言葉を残している。,
第34回：令和３年度（2022年）,問題1 人間の尊厳と自立,著書『ケアの本質?生きることの意味』の中で、「一人の人格をケアするとは、最も深い意味で、その人が成長すること、自己実現することをたすけることである」と述べた人物として、正しいものを１つ選びなさい。,3 不正解,"フローレンス・ナイチンゲール（Nightingale,F.）",フローレンス・ナイチンゲールは、クリミア戦争で傷を負ったり病気になった兵士の看病にあたった人物である。「近代看護教育の母」と呼ばれている。また、診療の補助と療養上の世話を看護の柱とした。,
第34回：令和３年度（2022年）,問題1 人間の尊厳と自立,著書『ケアの本質?生きることの意味』の中で、「一人の人格をケアするとは、最も深い意味で、その人が成長すること、自己実現することをたすけることである」と述べた人物として、正しいものを１つ選びなさい。,4 正解,"ミルトン・メイヤロフ（Mayeroff,M.）",ミルトン・メイヤロフは、アメリカの哲学者である。1971年に、ケアについての考え方を示した『ケアの本質?生きることの意味』を発表した。,
第34回：令和３年度（2022年）,問題1 人間の尊厳と自立,著書『ケアの本質?生きることの意味』の中で、「一人の人格をケアするとは、最も深い意味で、その人が成長すること、自己実現することをたすけることである」と述べた人物として、正しいものを１つ選びなさい。,5 不正解,"ベンクト・ニィリエ（Nirje,B.）",ベンクト・ニィリエは、ノーマライゼーションの考え方を提唱したバンク・ミケルセンに賛同し、知的障害者に対するノーマライゼーション（障害を持つ人が、障害がない人と同じ日常生活を送れるような環境整備）を目的として８つの原則を示した。「ノーマライゼーションの育ての父」と呼ばれている。,
第34回：令和３年度（2022年）,問題2 人間の尊厳と自立,Ａさん（80歳、女性、要介護１）は、筋力や理解力の低下がみられ、訪問介護（ホームヘルプサービス）を利用している。訪問介護員（ホームヘルパー）がいない時間帯は、同居している長男（53歳、無職）に頼って生活をしている。長男はＡさんの年金で生計を立てていて、ほとんど外出しないで家にいる。ある時、Aさんは訪問介護員（ホームヘルパー）に、「長男は暴力がひどくてね。この間も殴られて、とても怖かった。長男には言わないでね。あとで何をされるかわからないから」と話した。訪問介護員（ホームヘルパー）は、Ａさんのからだに複数のあざがあることを確認した。訪問介護員（ホームヘルパー）の対応に関する次の記述のうち、最も適切なものを１つ選びなさい。,1 正解,長男の虐待を疑い、上司に報告し、市町村に通報する。,高齢者虐待防止法では、家族などの養護者による虐待を発見した場合や虐待を受けていると思われる場合は、速やかに市町村に通報する（努力義務）と定めている。また、高齢者の生命または身体に重大な危険が生じている場合は、通報が義務とされている。,
第34回：令和３年度（2022年）,問題2 人間の尊厳と自立,Ａさん（80歳、女性、要介護１）は、筋力や理解力の低下がみられ、訪問介護（ホームヘルプサービス）を利用している。訪問介護員（ホームヘルパー）がいない時間帯は、同居している長男（53歳、無職）に頼って生活をしている。長男はＡさんの年金で生計を立てていて、ほとんど外出しないで家にいる。ある時、Aさんは訪問介護員（ホームヘルパー）に、「長男は暴力がひどくてね。この間も殴られて、とても怖かった。長男には言わないでね。あとで何をされるかわからないから」と話した。訪問介護員（ホームヘルパー）は、Ａさんのからだに複数のあざがあることを確認した。訪問介護員（ホームヘルパー）の対応に関する次の記述のうち、最も適切なものを１つ選びなさい。,2 不正解,長男の仕事が見つかるようにハローワークを紹介する。,Ａさんの長男の仕事を探すより、Ａさんに対する長男の虐待への対応が優先される。どうすればＡさんを虐待から守ることができるかを考えるべきである。,
第34回：令和３年度（2022年）,問題2 人間の尊厳と自立,Ａさん（80歳、女性、要介護１）は、筋力や理解力の低下がみられ、訪問介護（ホームヘルプサービス）を利用している。訪問介護員（ホームヘルパー）がいない時間帯は、同居している長男（53歳、無職）に頼って生活をしている。長男はＡさんの年金で生計を立てていて、ほとんど外出しないで家にいる。ある時、Aさんは訪問介護員（ホームヘルパー）に、「長男は暴力がひどくてね。この間も殴られて、とても怖かった。長男には言わないでね。あとで何をされるかわからないから」と話した。訪問介護員（ホームヘルパー）は、Ａさんのからだに複数のあざがあることを確認した。訪問介護員（ホームヘルパー）の対応に関する次の記述のうち、最も適切なものを１つ選びなさい。,3 不正解,Ａさんの気持ちを大切にして何もしない。,Ａさんは「長男には言わないでね」と言っているが、放置すべき状況ではない。高齢者虐待の相談や通報は、守秘義務違反にはならないため、市町村への通報を考えるべきである。,
第34回：令和３年度（2022年）,問題2 人間の尊厳と自立,Ａさん（80歳、女性、要介護１）は、筋力や理解力の低下がみられ、訪問介護（ホームヘルプサービス）を利用している。訪問介護員（ホームヘルパー）がいない時間帯は、同居している長男（53歳、無職）に頼って生活をしている。長男はＡさんの年金で生計を立てていて、ほとんど外出しないで家にいる。ある時、Aさんは訪問介護員（ホームヘルパー）に、「長男は暴力がひどくてね。この間も殴られて、とても怖かった。長男には言わないでね。あとで何をされるかわからないから」と話した。訪問介護員（ホームヘルパー）は、Ａさんのからだに複数のあざがあることを確認した。訪問介護員（ホームヘルパー）の対応に関する次の記述のうち、最も適切なものを１つ選びなさい。,4 不正解,すぐに長男を別室に呼び、事実を確認する。,長男への事実確認は、Ａさんへのさらなる虐待につながることも考えられる。長男に確認せず、市町村への通報を考えるべきである。,
第34回：令和３年度（2022年）,問題2 人間の尊厳と自立,Ａさん（80歳、女性、要介護１）は、筋力や理解力の低下がみられ、訪問介護（ホームヘルプサービス）を利用している。訪問介護員（ホームヘルパー）がいない時間帯は、同居している長男（53歳、無職）に頼って生活をしている。長男はＡさんの年金で生計を立てていて、ほとんど外出しないで家にいる。ある時、Aさんは訪問介護員（ホームヘルパー）に、「長男は暴力がひどくてね。この間も殴られて、とても怖かった。長男には言わないでね。あとで何をされるかわからないから」と話した。訪問介護員（ホームヘルパー）は、Ａさんのからだに複数のあざがあることを確認した。訪問介護員（ホームヘルパー）の対応に関する次の記述のうち、最も適切なものを１つ選びなさい。,5 不正解,長男の暴力に気づいたかを近所の人に確認する。,Ａさんのからだに複数のあざを確認し、Ａさんからも話を聞いている。近所の人に確認する必要はなく、市町村への通報を考えるべきである。,
